id,name,rating,userRatingCount,websiteUri,formattedAddress,latitude,longitude
"ChIJ63s9uodRW4YRRKIDWcQdfbQ","Buck's Backyard","4.4","1281","https://bucksbackyard.com/events/","1750 Farm to Market 1626, Buda, TX 78610, USA","30.070820299999998","-97.8731325"
"ChIJizCAA-FRW4YROTG9mx1k0fY","Starbucks","3.9","244","https://www.starbucks.com/store-locator/store/1027038","230 Farm to Market 1626, Buda, TX 78610, USA","30.095769999999995","-97.87583"
"ChIJN-Q2PPpRW4YRYU11f1B3aeQ","Beijing Bistro - Buda","4.2","523","http://beijingbistrobuda.com/","3420-B FM 967 Unit B-110, Buda, TX 78610, USA","30.0972747","-97.87858580000001"
"ChIJZQ8uHgBRW4YRwsNPl7Jxs3M","McDonald's","2.7","141","http://www.mcdonalds.com/?cid=RF:YXT:GMB::Clicks","3265 FM 967, Buda, TX 78610, USA","30.096130300000002","-97.87658379999999"
"ChIJBfftlflRW4YRlLrNsfKvZDw","Sonic Drive-In","3.7","535","http://www.sonicdrivein.com/locations/us/tx/buda/3200b-fm-967/store-5992?utm_source=google-my-business&utm_medium=organic&utm_campaign=website-link&y_source=1_MjAzMzg1ODg5Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","3200b FM 967, Buda, TX 78610, USA","30.0977533","-97.8758964"
"ChIJzWlXNfhRW4YRn23tbq7lJw4","Schlotzsky's","3.6","259","https://locations.schlotzskys.com/tx/buda/125-north-fm-1626?utm_source=google&utm_medium=organic&utm_campaign=locations_partner","125 N Farm to Market 1626 Ste 170, Buda, TX 78610, USA","30.098631700000002","-97.8751222"
"ChIJ4dsIuldRW4YRjIQM5bkVk6I","Chick-fil-A","4.4","34","https://www.chick-fil-a.com/locations/tx/west-buda?utm_source=google&utm_medium=gmb","370 Farm to Market 1626, Buda, TX 78610, USA","30.094873200000002","-97.8754088"
"ChIJJ5Wd8uVRW4YRgXlh36Hpm7c","Subway","3.7","163","https://restaurants.subway.com/united-states/tx/buda/3310-b-fm-967?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=53507&utm_campaign=evergreen-2020&y_source=1_MTQ5MTM4MjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","3310 B FM 967 Suite A-101/ Building A, Buda, TX 78610, USA","30.096987","-97.8774553"
"ChIJofgTcopNW4YRIo4nXsO9IhI","Laredo Taco Company","2.9","12","https://www.laredotacocompany.com/?utm_source=G&utm_medium=local&utm_campaign=google-local","125 N Farm to Market 1626, Buda, TX 78610, USA","30.098112099999998","-97.87556629999999"
"ChIJy3cINIpRW4YRlkVweConJH0","The Outskirts Eatery","4","5","http://outskirtseatery.com/","1095 Farm to Market 1626, Buda, TX 78610, USA","30.084061799999997","-97.8744842"
"ChIJWx2UDZVTW4YRlPE_tmxZPZw","QuikTrip","4.2","184","https://locations.quiktrip.com/tx/buda/1108-robert-s-light-blvd?utm_source=gmb&utm_medium=yext&y_source=1_NDEwNDc3MjAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","1108 Robert S. Light Blvd, Buda, TX 78610, USA","30.0601134","-97.8358038"
"ChIJB3_V_NBTW4YRYwo_O6SlGdE","Meridian","4.8","339","http://www.meridianbuda.com/","200 Main St, Buda, TX 78610, USA","30.082001700000003","-97.84312709999999"
"ChIJ70gc3zNTW4YRWvlbGs8269o","Taste on Main","4.6","547","https://tasteonmain.com/#welcome","116 Main St, Buda, TX 78610, USA","30.0814401","-97.84335469999999"
"ChIJu_m8lQdTW4YRuMdKkedkYOs","MudBugs - A Cajun Joint","4.4","946","http://www.peaceloveandcrawfish.com/","306 S Main St Suite 107, Buda, TX 78610, USA","30.077551099999994","-97.8456331"
"ChIJH8z5hkZSW4YRL5ZbpxHRqlk","Nate's Coffee & Cocktails","4.4","735","http://nates-buda.com/","306 S Main St Ste. 101, Buda, TX 78610, USA","30.077919199999997","-97.84544160000002"
"ChIJ2ThLgV1SW4YRMxHnLLma6RE","Willie's Joint BAR and GRILL","4.3","1063","http://williesjoint.com/","824 Main St, Buda, TX 78610, USA","30.086475899999996","-97.83645709999999"
