id,name,rating,userRatingCount,websiteUri,formattedAddress,latitude,longitude
"ChIJzTYUNkzKw4kRq_kofR0oWVE","Lucky Happy Feet Reflexology & Body Work","4.7","66","","103 N Broadway, South Amboy, NJ 08879, USA","40.483552499999995","-74.27999750000001"
"ChIJB-CeUqDLw4kRxFOUQr2L88Q","The Broadway Barber House","4.9","91","","130 S Broadway, South Amboy, NJ 08879, USA","40.4820352","-74.2793773"
"ChIJ-cEOq03Kw4kR_awGIq-Vnts","Talkin' Heads Salon","4.8","109","http://www.talkinheadssalon.com/","122 S Broadway, South Amboy, NJ 08879, USA","40.4822467","-74.27959109999999"
"ChIJUx5moE7Kw4kRVsvUK_5oqwM","H Barbershop & Hairsalon","4.9","286","https://instagram.com/hbarbershopandhairsalon?utm_medium=copy_link","147 N Broadway, South Amboy, NJ 08879, USA","40.4848929","-74.2811406"
"ChIJ3a-_eTrLw4kRzYQS98ErKME","Divine Beauty Salon South Amboy NJ","4.8","61","https://www.divinebeautysalonspa.com/","104 S Broadway, South Amboy, NJ 08879, USA","40.482915299999995","-74.2801417"
"ChIJpVfT_U3Lw4kRd3LeWTAEVt0","The Hair Garage","5","94","http://thehairgaragenj.com/","1 Krainski Rd, Parlin, NJ 08859, USA","40.458043599999996","-74.2793268"
"ChIJjQMM8UjLw4kRfJCQWsFp9Y4","Luvi Nails & Spa","5","40","","301 NJ-35 #4, Laurence Harbor, NJ 08879, USA","40.4576701","-74.24749659999999"
"ChIJfQfsOEzKw4kRDyyGrvdFCrI","Belle Allure Salon & Spa","4.6","41","http://belleallurestyle.com/","112 N Broadway, South Amboy, NJ 08879, USA","40.483702099999995","-74.28053489999999"
"ChIJjVhfOUzKw4kRyfe3Jrb3DmE","Vintage Hair Salon","4.7","87","http://vintagehairsalon.net/","113 S Broadway, South Amboy, NJ 08879, USA","40.4828715","-74.2795484"
"ChIJ99mo2OXLw4kRXFqzebuzZeY","Daisy's Nails LLC","4.5","38","","108 N Broadway, South Amboy, NJ 08879, USA","40.4835217","-74.2804608"
"ChIJs8U0dDzLw4kRXPYBRCiEDMg","Haircut Store","4.3","34","","330 Bordentown Ave, South Amboy, NJ 08879, USA","40.478395","-74.2823655"
"ChIJn-T_KLXLw4kREQ-pyA30XfQ","Headhunter","4.5","15","https://m.facebook.com/pages/The-Headhunters/155671634496425","115 N Pine Ave, South Amboy, NJ 08879, USA","40.4811409","-74.2862718"
"ChIJSwRUNaXLw4kRwmWlD8daOkU","John's Tonsorial Shop","5","24","","513 S Pine Ave, South Amboy, NJ 08879, USA","40.4680955","-74.2765978"
"ChIJu9E0DE3Kw4kRl4C2Bg-VCAY","THE LASH GENIE BEAUTY SERVICES","5","1","","South Amboy, NJ 08879, USA","40.481559","-74.2783744"
"ChIJ9xmztsrLw4kRa-HFyl2onM0","Bob's Barber Shop","4.9","11","","508 Washington Rd, South Amboy, NJ 08879, USA","40.4807138","-74.2894692"
"ChIJOTATjeTLw4kRTVQE-0WBNX8","THE SHOP EXPERIENCE LLC","5","5","","104 S Broadway, South Amboy, NJ 08879, USA","40.482915299999995","-74.2801417"
"ChIJa2jB4ezLw4kRkvKCoBZiJJM","Cryotherapy at Belle Allure","5","2","http://www.belleallurestyle.com/","112 N Broadway, South Amboy, NJ 08879, USA","40.4836925","-74.280635"
"ChIJk4gKu97Lw4kRWDrcOw0JY2c","The Hair Shop by Gabrielle and May","4.8","45","https://thehairshopbygabrielleandmay.mysalononline.com/","339 Main St, South Amboy, NJ 08879, USA","40.4824129","-74.2868093"
"ChIJxcLcg43Lw4kR7Mv2tFqZVI4","JASZY STYLESZ BEAUTY HAUS","","","https://jaszystylesz.glossgenius.com/","216 Bordentown Ave, South Amboy, NJ 08879, USA","40.480471699999995","-74.27900029999999"
"ChIJ0by_ak3Lw4kRIyf5meJvrew","Lets Heal Your Skin","5","71","http://www.letshealyourskin.com/","549 Main Street (side entrance, Staten Island, NY 10307, USA","40.501382899999996","-74.2440239"
"ChIJn4K07lbLw4kR65oYHFbUZB0","Esthetics by Katie","5","3","https://estheticssbykatie.as.me/schedule.php","Yetman Ave, Staten Island, NY 10307, USA","40.501264299999995","-74.2404253"
"ChIJr4dUU9XLw4kR_ZLCXGpUvEg","Healing Touch IV","5","4","http://www.healingtouchiv.com/","549 Main St, Staten Island, NY 10307, USA","40.5013156","-74.2439998"
"ChIJkXKEDrw1wokRASCBGzS9jmk","Queens Beauty","","","https://queensbeautybyanna.as.me/","40 Carr Ave, Keansburg, NJ 07734, USA","40.4538965","-74.1350242"
"ChIJw28re3DKw4kRvlpWglipywQ","African home llc","4.2","112","","336 Smith St, Perth Amboy, NJ 08861, USA","40.511308899999996","-74.2773038"
